,year,state_fips_code,county_fips_code,pred_qty_oxy
0,2013,12,33,181812.63877797662
1,2013,12,53,176650.37826145656
2,2013,12,57,258607.5737841915
3,2013,12,91,168871.10210841452
4,2013,12,123,55400.50714029979
5,2013,12,129,53078.903245047535
6,2013,13,187,53519.794396224075
7,2013,13,189,54242.809602329544
8,2013,13,201,55545.01765393277
9,2013,13,211,49527.02576654524
10,2013,13,149,51176.41829852431
11,2013,13,219,53038.82415275219
12,2013,13,95,73474.23432294052
13,2013,13,111,56564.42886800506
14,2013,13,151,170333.07866693012
15,2013,13,153,166813.54676291245
16,2013,13,175,66004.92982189948
17,2013,13,183,50322.071789804446
18,2013,13,255,71230.77403887818
19,2013,13,257,54269.977545882735
20,2013,13,271,57025.73018771723
21,2013,13,293,60323.73179989788
22,2013,13,303,56767.53554254109
23,2013,13,225,60186.781696457736
24,2013,13,229,49164.09445242311
25,2013,13,231,48936.0384078851
26,2013,13,251,57694.040927500355
27,2013,13,267,54115.06967375813
28,2013,13,295,68797.28426110042
29,2013,13,135,241328.09017307448
30,2013,13,49,49010.89203442044
31,2013,13,15,149322.1256152206
32,2013,13,97,172654.72977427606
33,2013,13,161,54076.28601111462
34,2013,13,141,57514.07297127056
35,2013,13,37,44323.940445656764
36,2013,13,285,68483.70803887819
37,2013,13,197,56485.95293456785
38,2013,13,249,51555.55271675058
39,2013,13,23,57791.15432992069
40,2013,13,109,54254.774228641174
41,2013,13,119,56663.289284916136
42,2013,13,103,65502.02562142206
43,2013,13,171,53298.1576282111
44,2013,13,107,60147.23563557936
45,2013,13,239,53003.995891027276
46,2013,13,159,49683.860880994536
47,2013,13,173,50969.832904365234
48,2013,13,179,68908.83815140514
49,2013,13,205,54990.38578397411
50,2013,13,253,55461.03271066733
51,2013,13,289,55512.74313793723
52,2013,13,233,58835.65933282136
53,2013,13,269,56847.27655682117
54,2013,13,275,71225.7012504709
55,2013,13,279,62935.762856344714
56,2013,13,209,56020.482710667326
57,2013,13,221,48267.74748066773
58,2013,13,247,143294.496461159
59,2013,13,305,60700.897104784686
60,2013,13,309,56226.73639033775
61,2013,13,9,67203.51146556382
62,2013,18,61,54882.31331436589
63,2013,18,169,54430.004473903355
64,2013,18,75,38924.23492116621
65,2013,18,127,165546.12156289234
66,2013,18,147,35466.24404637507
67,2013,18,157,166859.20188670873
68,2013,18,57,173317.94093149411
69,2013,18,87,51866.32216359457
70,2013,18,11,129048.04398727491
71,2013,18,107,58264.1348768525
72,2013,18,19,150231.84045472578
73,2013,18,21,38966.327732133024
74,2013,18,47,33870.31832348384
75,2013,18,71,51104.25230094302
76,2013,18,129,38546.43828374881
77,2013,18,165,35378.01949848543
78,2013,18,3,186759.00689044432
79,2013,18,43,136832.47130100045
80,2013,18,81,166057.7406057741
81,2013,18,51,49277.565185000996
82,2013,18,117,36073.74728480258
83,2013,18,99,62840.933182113375
84,2013,18,9,32552.98210213378
85,2013,18,143,33667.324356693534
86,2013,18,39,168904.94670153453
87,2013,18,17,59552.0343562132
88,2013,13,21,171027.40908706575
89,2013,18,177,110503.15029164264
90,2013,19,23,26166.8933559383
91,2013,19,79,44419.30188698405
92,2013,19,175,27042.45266891509
93,2013,19,195,26701.370762120947
94,2013,19,1,26567.32543483062
95,2013,19,37,27214.294583801344
96,2013,19,59,27138.421537756476
97,2013,19,69,44341.48596650443
98,2013,19,31,27318.872515004754
99,2013,19,67,34545.343326432834
100,2013,19,115,44302.24407769852
101,2013,19,91,27797.23369410918
102,2013,19,183,43877.94810325991
103,2013,19,35,26197.8919085733
104,2013,19,57,57736.57994221497
105,2013,19,109,27060.093355938294
106,2013,19,139,56002.435300943034
107,2013,19,153,183187.88993124262
108,2013,19,107,26057.12420906469
109,2013,19,171,43559.72458378111
110,2013,21,225,48386.54195817024
111,2013,21,35,60828.17333282137
112,2013,13,11,49853.12238320968
113,2013,13,31,74618.8591990089
114,2013,13,59,118879.13140414821
115,2013,13,61,56465.067403324225
116,2013,13,101,49691.79416470839
117,2013,13,127,92882.57404016645
118,2013,13,89,247677.93578974676
119,2013,13,143,55934.68584611639
120,2013,13,157,68837.98298026329
121,2013,13,163,57434.29813669678
122,2013,13,169,52955.33828495858
123,2013,13,181,56350.31335323943
124,2013,13,213,65262.90852065725
125,2013,13,215,177296.3725121407
126,2013,13,235,51089.21204646779
127,2013,13,241,55923.91863239654
128,2013,13,259,43018.78829304507
129,2013,13,281,37975.19864834382
130,2013,13,283,55554.55484547626
131,2013,13,287,57564.86293456786
132,2013,13,3,55251.64792255395
133,2013,13,1,55279.27978820742
134,2013,13,25,56454.2168103332
135,2013,13,17,60091.76503045475
136,2013,13,47,66144.05976041206
137,2013,13,55,56979.43408420776
138,2013,13,73,164233.5202774495
139,2013,13,115,142555.37023891555
